ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
ILMN_8122	3.75e-25	7.27e-26	188.89762	TXNDC17	thioredoxin domain containing 17
ILMN_23270	3.81e-25	7.39e-26	188.77248	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
ILMN_23321	3.85e-25	7.46e-26	188.69934	EXOC1	exocyst complex component 1
ILMN_27798	3.87e-25	7.50e-26	188.65535	SF3A3	splicing factor 3a subunit 3
ILMN_138832	3.87e-25	7.51e-26	188.64276	SLC7A11	solute carrier family 7 member 11
ILMN_19437	3.88e-25	7.53e-26	188.6232	MIER2	MIER family member 2
ILMN_12276	3.88e-25	7.55e-26	188.61074	COMMD10	COMM domain containing 10
ILMN_13581	3.93e-25	7.65e-26	188.50618	ZNF280D	zinc finger protein 280D
ILMN_5477	3.94e-25	7.66e-26	188.49204	HERC4	HECT and RLD domain containing E3 ubiquitin protein ligase 4
ILMN_24598	4.03e-25	7.85e-26	188.31342	MOB1B	MOB kinase activator 1B
ILMN_2037	4.04e-25	7.87e-26	188.29041	H2AFY	H2A histone family member Y
ILMN_2597	4.11e-25	8.01e-26	188.15746	MAP3K12	mitogen-activated protein kinase kinase kinase 12
ILMN_960	4.12e-25	8.05e-26	188.12	COX14	COX14, cytochrome c oxidase assembly factor
ILMN_1690	4.16e-25	8.13e-26	188.04258	CEP63	centrosomal protein 63
ILMN_19006	4.18e-25	8.17e-26	188.00852	MECP2	methyl-CpG binding protein 2
ILMN_13327	4.20e-25	8.22e-26	187.95944	ZNF263	zinc finger protein 263
ILMN_30044	4.27e-25	8.35e-26	187.83738	ACAA1	acetyl-CoA acyltransferase 1
ILMN_7144	4.31e-25	8.45e-26	187.75412	CDC42EP4	CDC42 effector protein 4
ILMN_12815	4.36e-25	8.54e-26	187.67152	CCP110	centriolar coiled-coil protein 110
ILMN_19186	4.36e-25	8.54e-26	187.66714	CPPED1	calcineurin like phosphoesterase domain containing 1
ILMN_22612	4.41e-25	8.65e-26	187.57431	HTRA2	HtrA serine peptidase 2
ILMN_29624	4.41e-25	8.65e-26	187.57094	ZDHHC8	zinc finger DHHC-type containing 8
ILMN_658	4.41e-25	8.66e-26	187.56429	TNFSF8	tumor necrosis factor superfamily member 8
ILMN_13414	4.45e-25	8.75e-26	187.48885	BTBD3	BTB domain containing 3
ILMN_27636	4.47e-25	8.80e-26	187.44509	BRI3	brain protein I3
ILMN_17171	4.50e-25	8.87e-26	187.38471	WDR44	WD repeat domain 44
ILMN_137193	4.53e-25	8.93e-26	187.33028	SECISBP2	SECIS binding protein 2
ILMN_5859	4.61e-25	9.09e-26	187.19921	ZNF512	zinc finger protein 512
ILMN_15558	4.63e-25	9.13e-26	187.16613	PAXBP1	PAX3 and PAX7 binding protein 1
ILMN_10367	4.70e-25	9.27e-26	187.04522		
ILMN_22122	4.74e-25	9.36e-26	186.97644	IFT43	intraflagellar transport 43
ILMN_29319	4.82e-25	9.53e-26	186.83822	WASH1	WAS protein family homolog 1
ILMN_11222	4.88e-25	9.65e-26	186.74211	NIT1	nitrilase 1
ILMN_8552	4.97e-25	9.83e-26	186.602	RNF114	ring finger protein 114
ILMN_4262	5.15e-25	1.02e-25	186.33296	MPHOSPH8	M-phase phosphoprotein 8
ILMN_20704	5.19e-25	1.03e-25	186.27004	CD300A	CD300a molecule
ILMN_25762	5.21e-25	1.03e-25	186.22359	GAPVD1	GTPase activating protein and VPS9 domains 1
ILMN_797	5.27e-25	1.04e-25	186.14526	ZMYND19	zinc finger MYND-type containing 19
ILMN_29770	5.36e-25	1.06e-25	186.01331	F11R	F11 receptor
ILMN_8868	5.37e-25	1.07e-25	185.9823	ARMC6	armadillo repeat containing 6
ILMN_13516	5.47e-25	1.09e-25	185.83799	PKN1	protein kinase N1
ILMN_24153	5.68e-25	1.13e-25	185.55951	CCAR1	cell division cycle and apoptosis regulator 1
ILMN_17601	5.73e-25	1.14e-25	185.48964	SIRT2	sirtuin 2
ILMN_25524	5.75e-25	1.15e-25	185.45522	PNPLA6	patatin like phospholipase domain containing 6
ILMN_6705	5.86e-25	1.17e-25	185.30661	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough
ILMN_10933	5.87e-25	1.17e-25	185.29388		
ILMN_4050	5.98e-25	1.19e-25	185.14595	RABEPK	Rab9 effector protein with kelch motifs
ILMN_17332	5.98e-25	1.19e-25	185.14397	DENND6B	DENN domain containing 6B
ILMN_3088	6.02e-25	1.20e-25	185.07984	PDCD7	programmed cell death 7
ILMN_24469	6.16e-25	1.23e-25	184.91045	HACL1	2-hydroxyacyl-CoA lyase 1
ILMN_4250	6.21e-25	1.24e-25	184.83825	ZNF653	zinc finger protein 653
ILMN_7153	6.29e-25	1.26e-25	184.74599	TNPO3	transportin 3
ILMN_11635	6.33e-25	1.27e-25	184.69006	OSBPL2	oxysterol binding protein like 2
ILMN_138267	6.45e-25	1.29e-25	184.54874	ITGB2	integrin subunit beta 2
ILMN_1120	6.52e-25	1.31e-25	184.45674	KYAT3	kynurenine aminotransferase 3
ILMN_13146	6.61e-25	1.33e-25	184.3538	DNPEP	aspartyl aminopeptidase
ILMN_27755	6.62e-25	1.33e-25	184.33334	PLB1	phospholipase B1
ILMN_27551	6.63e-25	1.33e-25	184.32196	CSTF3	cleavage stimulation factor subunit 3
ILMN_12245	6.75e-25	1.36e-25	184.18612	ITPR1	inositol 1,4,5-trisphosphate receptor type 1
ILMN_7185	6.87e-25	1.38e-25	184.04683	SLAMF7	SLAM family member 7
ILMN_2409	6.92e-25	1.39e-25	183.99115	CFAP36	cilia and flagella associated protein 36
ILMN_29530	7.07e-25	1.42e-25	183.82646	PTPN9	protein tyrosine phosphatase, non-receptor type 9
ILMN_14450	7.11e-25	1.43e-25	183.77634	LSM10	LSM10, U7 small nuclear RNA associated
ILMN_11894	7.15e-25	1.44e-25	183.73006	GLRX5	glutaredoxin 5
ILMN_23258	7.27e-25	1.47e-25	183.59561	ARSD	arylsulfatase D
ILMN_16224	7.38e-25	1.49e-25	183.48022	ANKRA2	ankyrin repeat family A member 2
ILMN_137421	7.38e-25	1.49e-25	183.47738	UNC45A	unc-45 myosin chaperone A
ILMN_7657	7.48e-25	1.51e-25	183.37056	HDAC6	histone deacetylase 6
ILMN_2268	7.52e-25	1.52e-25	183.32874	TSC1	tuberous sclerosis 1
ILMN_873	7.57e-25	1.53e-25	183.27045	HNRNPF	heterogeneous nuclear ribonucleoprotein F
ILMN_26774	7.60e-25	1.54e-25	183.23602	ZNF615	zinc finger protein 615
ILMN_1018	7.68e-25	1.56e-25	183.15758	PRMT3	protein arginine methyltransferase 3
ILMN_14707	7.71e-25	1.57e-25	183.11998	ASUN	asunder, spermatogenesis regulator
ILMN_12961	7.73e-25	1.57e-25	183.09536	WDR61	WD repeat domain 61
ILMN_13425	7.73e-25	1.57e-25	183.09457	SSH3	slingshot protein phosphatase 3
ILMN_18139	7.79e-25	1.58e-25	183.03781	UBQLN4	ubiquilin 4
ILMN_19739	7.84e-25	1.59e-25	182.98375	THOC1	THO complex 1
ILMN_137196	7.91e-25	1.61e-25	182.90985	EXOC5	exocyst complex component 5
ILMN_7621	7.92e-25	1.61e-25	182.89989	SELT	selenoprotein T
ILMN_3617	8.08e-25	1.65e-25	182.74409	RPP40	ribonuclease P/MRP subunit p40
ILMN_137958	8.15e-25	1.66e-25	182.67422	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5
ILMN_19361	8.21e-25	1.68e-25	182.61202	LRSAM1	leucine rich repeat and sterile alpha motif containing 1
ILMN_18305	8.28e-25	1.69e-25	182.54834	BRMS1	breast cancer metastasis suppressor 1
ILMN_19683	8.41e-25	1.72e-25	182.43248	TMEM60	transmembrane protein 60
ILMN_2474	8.53e-25	1.74e-25	182.31601	GUSB	glucuronidase beta
ILMN_2248	8.54e-25	1.75e-25	182.30323	ERLIN2	ER lipid raft associated 2
ILMN_2950	8.57e-25	1.75e-25	182.27596	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1
ILMN_9697	8.63e-25	1.77e-25	182.22293	TIMM21	translocase of inner mitochondrial membrane 21
ILMN_28597	8.71e-25	1.78e-25	182.14703	PRELID1	PRELI domain containing 1
ILMN_137100	8.73e-25	1.79e-25	182.12691	GPX4	glutathione peroxidase 4
ILMN_23605	9.00e-25	1.85e-25	181.89449	SDHAF4	succinate dehydrogenase complex assembly factor 4
ILMN_29800	9.05e-25	1.86e-25	181.85298	TYK2	tyrosine kinase 2
ILMN_2205	9.12e-25	1.87e-25	181.78485	APMAP	adipocyte plasma membrane associated protein
ILMN_4334	9.20e-25	1.89e-25	181.72111	CD300LF	CD300 molecule like family member f
ILMN_26343	9.34e-25	1.92e-25	181.60413	GJB2	gap junction protein beta 2
ILMN_5778	9.36e-25	1.93e-25	181.58232	SCMH1	sex comb on midleg homolog 1 (Drosophila)
ILMN_27725	9.50e-25	1.96e-25	181.46594	DNAJC14	DnaJ heat shock protein family (Hsp40) member C14
ILMN_2451	9.56e-25	1.97e-25	181.41727	SGK1	serum/glucocorticoid regulated kinase 1
ILMN_4831	9.60e-25	1.98e-25	181.37863	EIF2D	eukaryotic translation initiation factor 2D
ILMN_15043	9.71e-25	2.00e-25	181.28984	FLVCR2	feline leukemia virus subgroup C cellular receptor family member 2
ILMN_26894	9.72e-25	2.01e-25	181.28251	SLC35A5	solute carrier family 35 member A5
ILMN_14826	9.77e-25	2.02e-25	181.24075	XRCC5	X-ray repair cross complementing 5
ILMN_2315	9.78e-25	2.02e-25	181.22343	TNFAIP3	TNF alpha induced protein 3
ILMN_19970	1.01e-24	2.08e-25	181.02083	RAP1A	RAP1A, member of RAS oncogene family
ILMN_27831	1.01e-24	2.09e-25	180.9756	PNPLA2	patatin like phospholipase domain containing 2
ILMN_3900	1.02e-24	2.11e-25	180.91708		
ILMN_14789	1.02e-24	2.11e-25	180.89911	RRM1	ribonucleotide reductase catalytic subunit M1
ILMN_13004	1.02e-24	2.12e-25	180.88145	ZNF581	zinc finger protein 581
ILMN_16311	1.03e-24	2.13e-25	180.85	MVB12A	multivesicular body subunit 12A
ILMN_10152	1.03e-24	2.14e-25	180.79893	DHRS4	dehydrogenase/reductase 4
ILMN_26581	1.03e-24	2.14e-25	180.79865	SIVA1	SIVA1 apoptosis inducing factor
ILMN_14070	1.03e-24	2.15e-25	180.79149	RAP2B	RAP2B, member of RAS oncogene family
ILMN_8036	1.04e-24	2.17e-25	180.71893	MICU2	mitochondrial calcium uptake 2
ILMN_13014	1.04e-24	2.17e-25	180.71585	CCDC47	coiled-coil domain containing 47
ILMN_17274	1.05e-24	2.18e-25	180.68191	CSNK1G2	casein kinase 1 gamma 2
ILMN_15485	1.06e-24	2.20e-25	180.60906		
ILMN_26366	1.06e-24	2.21e-25	180.57408	FCGR2A	Fc fragment of IgG receptor IIa
ILMN_5227	1.07e-24	2.23e-25	180.52111	FBXL5	F-box and leucine rich repeat protein 5
ILMN_16320	1.07e-24	2.23e-25	180.51643	PRKCB	protein kinase C beta
ILMN_17835	1.07e-24	2.24e-25	180.46157	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3
ILMN_26165	1.09e-24	2.27e-25	180.37961	AAMDC	adipogenesis associated Mth938 domain containing
ILMN_14976	1.10e-24	2.29e-25	180.30633	ZZZ3	zinc finger ZZ-type containing 3
ILMN_20005	1.11e-24	2.32e-25	180.20367	ISCA1	iron-sulfur cluster assembly 1
ILMN_21022	1.11e-24	2.32e-25	180.20122	PRR3	proline rich 3
ILMN_16866	1.12e-24	2.35e-25	180.12934	DDX46	DEAD-box helicase 46
ILMN_138597	1.14e-24	2.39e-25	180.00627		
ILMN_27329	1.14e-24	2.40e-25	179.97874	FAM126B	family with sequence similarity 126 member B
ILMN_13066	1.15e-24	2.41e-25	179.94941	KXD1	KxDL motif containing 1
ILMN_138945	1.16e-24	2.44e-25	179.8544	EXOC3	exocyst complex component 3
ILMN_24145	1.17e-24	2.46e-25	179.79519	LBHD1	LBH domain containing 1
ILMN_30105	1.18e-24	2.49e-25	179.70147	COMMD1	copper metabolism domain containing 1
ILMN_22349	1.19e-24	2.51e-25	179.64362	C7orf50	chromosome 7 open reading frame 50
ILMN_138058	1.20e-24	2.52e-25	179.59874	DEDD	death effector domain containing
ILMN_10766	1.22e-24	2.57e-25	179.48125	GPR84	G protein-coupled receptor 84
ILMN_23657	1.23e-24	2.59e-25	179.42506	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase
ILMN_10262	1.23e-24	2.59e-25	179.40925	CUL5	cullin 5
ILMN_4996	1.23e-24	2.59e-25	179.40329	SLA	Src-like-adaptor
ILMN_3604	1.26e-24	2.66e-25	179.22723	TRAM1	translocation associated membrane protein 1
ILMN_5199	1.27e-24	2.69e-25	179.13674	SLC24A4	solute carrier family 24 member 4
ILMN_24022	1.29e-24	2.72e-25	179.05507	DARS	aspartyl-tRNA synthetase
ILMN_27083	1.29e-24	2.73e-25	179.02776	ZMYND15	zinc finger MYND-type containing 15
ILMN_646	1.30e-24	2.76e-25	178.95928	SKIV2L	Ski2 like RNA helicase
ILMN_20426	1.31e-24	2.77e-25	178.93148	BSCL2	BSCL2, seipin lipid droplet biogenesis associated
ILMN_1221	1.33e-24	2.83e-25	178.76616	RFWD2	ring finger and WD repeat domain 2
ILMN_22546	1.33e-24	2.83e-25	178.76287	MRPL28	mitochondrial ribosomal protein L28
ILMN_9336	1.37e-24	2.90e-25	178.57537	METTL5	methyltransferase like 5
ILMN_12118	1.38e-24	2.93e-25	178.516	POLR2B	RNA polymerase II subunit B
ILMN_13229	1.38e-24	2.93e-25	178.51594	VPS11	VPS11, CORVET/HOPS core subunit
ILMN_27405	1.39e-24	2.96e-25	178.44498	TEX261	testis expressed 261
ILMN_26372	1.40e-24	2.97e-25	178.40523	HCAR2	hydroxycarboxylic acid receptor 2
ILMN_608	1.40e-24	2.98e-25	178.39607	PRDM10	PR/SET domain 10
ILMN_24002	1.40e-24	2.99e-25	178.36405	MTMR2	myotubularin related protein 2
ILMN_6772	1.41e-24	3.00e-25	178.34957	GINM1	glycoprotein integral membrane 1
ILMN_10564	1.43e-24	3.04e-25	178.2435	PCIF1	PDX1 C-terminal inhibiting factor 1
ILMN_18516	1.43e-24	3.05e-25	178.23066	FDPS	farnesyl diphosphate synthase
ILMN_13747	1.44e-24	3.07e-25	178.17141	WDR5	WD repeat domain 5
ILMN_25543	1.44e-24	3.09e-25	178.13585	ITPK1	inositol-tetrakisphosphate 1-kinase
ILMN_138028	1.51e-24	3.22e-25	177.82157	ADAMTSL4	ADAMTS like 4
ILMN_17916	1.51e-24	3.23e-25	177.81682	PLXND1	plexin D1
ILMN_17615	1.52e-24	3.25e-25	177.76582	PFAS	phosphoribosylformylglycinamidine synthase
ILMN_6262	1.53e-24	3.27e-25	177.70868	CBX1	chromobox 1
ILMN_1600	1.54e-24	3.29e-25	177.66714	CCT5	chaperonin containing TCP1 subunit 5
ILMN_22100	1.55e-24	3.33e-25	177.58904	DUSP12	dual specificity phosphatase 12
ILMN_25097	1.55e-24	3.33e-25	177.58629	EMP1	epithelial membrane protein 1
ILMN_18273	1.55e-24	3.34e-25	177.56838	GLTSCR1	glioma tumor suppressor candidate region gene 1
ILMN_20382	1.55e-24	3.34e-25	177.56472	CCDC12	coiled-coil domain containing 12
ILMN_2242	1.56e-24	3.36e-25	177.52193	DDX1	DEAD/H-box helicase 1
ILMN_23600	1.60e-24	3.45e-25	177.32753	MRPL22	mitochondrial ribosomal protein L22
ILMN_9558	1.70e-24	3.66e-25	176.90527	PRPF18	pre-mRNA processing factor 18
ILMN_12667	1.70e-24	3.66e-25	176.90468	CCDC69	coiled-coil domain containing 69
ILMN_18873	1.71e-24	3.67e-25	176.87502	COPRS	coordinator of PRMT5 and differentiation stimulator
ILMN_12579	1.71e-24	3.69e-25	176.83944	GTF3A	general transcription factor IIIA
ILMN_21962	1.71e-24	3.69e-25	176.8366	NMT1	N-myristoyltransferase 1
ILMN_403	1.71e-24	3.69e-25	176.83639	SLC2A8	solute carrier family 2 member 8
ILMN_9248	1.78e-24	3.84e-25	176.56147	TMEM160	transmembrane protein 160
ILMN_7626	1.79e-24	3.87e-25	176.4999	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma
ILMN_23328	1.79e-24	3.88e-25	176.49015	FTSJ3	FtsJ homolog 3
ILMN_23848	1.80e-24	3.89e-25	176.45748	E4F1	E4F transcription factor 1
ILMN_19124	1.80e-24	3.90e-25	176.45415	IL17RA	interleukin 17 receptor A
ILMN_27184	1.81e-24	3.91e-25	176.42513	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
ILMN_1405	1.86e-24	4.03e-25	176.20481	MRM3	mitochondrial rRNA methyltransferase 3
ILMN_1285	1.97e-24	4.27e-25	175.7987	MARCH2	membrane associated ring-CH-type finger 2
ILMN_26179	1.97e-24	4.28e-25	175.77229	ELOVL1	ELOVL fatty acid elongase 1
ILMN_4992	1.99e-24	4.31e-25	175.72143	INTS8	integrator complex subunit 8
ILMN_28163	2.00e-24	4.33e-25	175.68637	CSF2	colony stimulating factor 2
ILMN_5473	2.04e-24	4.43e-25	175.53267	ZNF526	zinc finger protein 526
ILMN_25625	2.06e-24	4.47e-25	175.46038	PHC1	polyhomeotic homolog 1
ILMN_1677	2.07e-24	4.51e-25	175.40435	MCFD2	multiple coagulation factor deficiency 2
ILMN_11502	2.08e-24	4.53e-25	175.36651	MRPL42	mitochondrial ribosomal protein L42
ILMN_4359	2.08e-24	4.54e-25	175.356	ABHD3	abhydrolase domain containing 3
ILMN_26281	2.09e-24	4.56e-25	175.32855	RBFA	ribosome binding factor A (putative)
ILMN_27277	2.10e-24	4.57e-25	175.30171	IL1B	interleukin 1 beta
ILMN_25113	2.13e-24	4.66e-25	175.17491	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40
ILMN_17437	2.13e-24	4.66e-25	175.16753	DCXR	dicarbonyl and L-xylulose reductase
ILMN_1807	2.14e-24	4.67e-25	175.15484	NR1H3	nuclear receptor subfamily 1 group H member 3
ILMN_15304	2.16e-24	4.73e-25	175.06757	ASMTL	acetylserotonin O-methyltransferase-like
ILMN_5340	2.17e-24	4.74e-25	175.03961	FBXL6	F-box and leucine rich repeat protein 6
ILMN_679	2.24e-24	4.89e-25	174.81946	SNAP23	synaptosome associated protein 23
ILMN_23298	2.29e-24	5.01e-25	174.64841	NEU1	neuraminidase 1 (lysosomal sialidase)
ILMN_19228	2.32e-24	5.08e-25	174.54898	MED9	mediator complex subunit 9
ILMN_19612	2.32e-24	5.10e-25	174.52988	ZNF358	zinc finger protein 358
ILMN_11168	2.37e-24	5.19e-25	174.39349	CD99L2	CD99 molecule like 2
ILMN_138328	2.42e-24	5.31e-25	174.23745	NARF	nuclear prelamin A recognition factor
ILMN_18164	2.45e-24	5.37e-25	174.15371	AKR1A1	aldo-keto reductase family 1 member A1
ILMN_22547	2.56e-24	5.62e-25	173.83416	NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit
ILMN_13624	2.56e-24	5.64e-25	173.81396	MAST2	microtubule associated serine/threonine kinase 2
ILMN_11090	2.60e-24	5.73e-25	173.69676	ZNF559	zinc finger protein 559
ILMN_11916	2.61e-24	5.74e-25	173.67746	BABAM1	BRISC and BRCA1 A complex member 1
ILMN_26088	2.61e-24	5.75e-25	173.67437	RPA1	replication protein A1
ILMN_19665	2.64e-24	5.82e-25	173.58555	CES2	carboxylesterase 2
ILMN_22619	2.67e-24	5.89e-25	173.49505	SLC7A1	solute carrier family 7 member 1
ILMN_25274	2.67e-24	5.90e-25	173.48616	HEATR5B	HEAT repeat containing 5B
ILMN_22211	2.67e-24	5.91e-25	173.47921	SEMA4A	semaphorin 4A
ILMN_4683	2.68e-24	5.92e-25	173.46019	HSPB11	heat shock protein family B (small) member 11
ILMN_13262	2.70e-24	5.97e-25	173.39927	TRPV2	transient receptor potential cation channel subfamily V member 2
ILMN_761	2.73e-24	6.04e-25	173.32335	PIGG	phosphatidylinositol glycan anchor biosynthesis class G
ILMN_21557	2.79e-24	6.17e-25	173.16585	PPP6R1	protein phosphatase 6 regulatory subunit 1
ILMN_17527	2.83e-24	6.26e-25	173.06799	LAMTOR4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4
ILMN_5068	2.88e-24	6.38e-25	172.9312	STYXL1	serine/threonine/tyrosine interacting-like 1
ILMN_20141	2.89e-24	6.40e-25	172.90835	PIGB	phosphatidylinositol glycan anchor biosynthesis class B
ILMN_21353	2.96e-24	6.57e-25	172.72707	RHOT2	ras homolog family member T2
ILMN_8600	2.98e-24	6.61e-25	172.68149	CLCN7	chloride voltage-gated channel 7
ILMN_23188	3.00e-24	6.66e-25	172.63023	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1
ILMN_12587	3.04e-24	6.75e-25	172.5333	HTRA2	HtrA serine peptidase 2
ILMN_14901	3.21e-24	7.14e-25	172.13966	LILRB3	leukocyte immunoglobulin like receptor B3
ILMN_139347	3.22e-24	7.17e-25	172.1131	EIF2B4	eukaryotic translation initiation factor 2B subunit delta
ILMN_17061	3.34e-24	7.44e-25	171.85314	POLR1D	RNA polymerase I subunit D
ILMN_1067	3.42e-24	7.63e-25	171.6762	CHKB	choline kinase beta
ILMN_20378	3.44e-24	7.66e-25	171.64692	VPS25	vacuolar protein sorting 25 homolog
ILMN_10897	3.51e-24	7.84e-25	171.48464	PIH1D1	PIH1 domain containing 1
ILMN_9417	3.54e-24	7.89e-25	171.43817	CCNG1	cyclin G1
ILMN_19480	3.54e-24	7.90e-25	171.42857	TBC1D10C	TBC1 domain family member 10C
ILMN_9296	3.61e-24	8.06e-25	171.29184	UBE3C	ubiquitin protein ligase E3C
ILMN_21393	3.68e-24	8.23e-25	171.1442	PI4KB	phosphatidylinositol 4-kinase beta
ILMN_30285	3.74e-24	8.36e-25	171.0302	CYP4V2	cytochrome P450 family 4 subfamily V member 2
ILMN_20567	3.74e-24	8.37e-25	171.02483	VDAC3	voltage dependent anion channel 3
ILMN_22807	3.76e-24	8.42e-25	170.97874		
ILMN_5010	3.81e-24	8.54e-25	170.88051	ADHFE1	alcohol dehydrogenase, iron containing 1
ILMN_12153	3.82e-24	8.56e-25	170.86502	MDM1	Mdm1 nuclear protein
ILMN_5658	3.83e-24	8.58e-25	170.84559	KLHL12	kelch like family member 12
ILMN_29645	3.83e-24	8.60e-25	170.83205	NUCB1	nucleobindin 1
ILMN_27201	3.94e-24	8.85e-25	170.63397	RGL1	ral guanine nucleotide dissociation stimulator like 1
ILMN_7095	3.96e-24	8.89e-25	170.60326	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10
ILMN_24749	3.97e-24	8.92e-25	170.57556	MTF2	metal response element binding transcription factor 2
ILMN_14263	3.98e-24	8.96e-25	170.54842	HDHD2	haloacid dehalogenase like hydrolase domain containing 2
ILMN_15315	4.02e-24	9.05e-25	170.4787	ZNF35	zinc finger protein 35
ILMN_15736	4.12e-24	9.28e-25	170.30106	IL13RA1	interleukin 13 receptor subunit alpha 1
ILMN_17263	4.15e-24	9.34e-25	170.25455	EHD1	EH domain containing 1
ILMN_14105	4.15e-24	9.35e-25	170.24967	PARP4	poly(ADP-ribose) polymerase family member 4
ILMN_20599	4.18e-24	9.42e-25	170.19695	NCOA6	nuclear receptor coactivator 6
ILMN_8184	4.21e-24	9.50e-25	170.14028	TRAPPC1	trafficking protein particle complex 1
ILMN_26001	4.27e-24	9.65e-25	170.02761	ZMYM3	zinc finger MYM-type containing 3
ILMN_7642	4.30e-24	9.72e-25	169.97821	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase
ILMN_11053	4.33e-24	9.80e-25	169.92209	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B
ILMN_8115	4.35e-24	9.84e-25	169.89357	KIF2A	kinesin family member 2A
ILMN_28180	4.35e-24	9.84e-25	169.89154	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase
ILMN_1587	4.35e-24	9.86e-25	169.87863	RBM15B	RNA binding motif protein 15B
ILMN_2033	4.38e-24	9.93e-25	169.82713	CYP27A1	cytochrome P450 family 27 subfamily A member 1
ILMN_29505	4.47e-24	1.01e-24	169.6887	NCLN	nicalin
ILMN_20906	4.57e-24	1.04e-24	169.53624	TNFSF12-TNFSF13	TNFSF12-TNFSF13 readthrough
ILMN_2973	4.73e-24	1.07e-24	169.29028	RNF167	ring finger protein 167
ILMN_13137	4.73e-24	1.07e-24	169.28247	OSM	oncostatin M
ILMN_30299	4.74e-24	1.08e-24	169.26847	XPNPEP1	X-prolyl aminopeptidase 1
ILMN_20932	4.76e-24	1.08e-24	169.23457	EGR1	early growth response 1
ILMN_27470	4.84e-24	1.10e-24	169.10966	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4
ILMN_25553	4.87e-24	1.11e-24	169.06145	MCM3	minichromosome maintenance complex component 3
ILMN_5969	4.92e-24	1.12e-24	168.98658	GBA2	glucosylceramidase beta 2
ILMN_14224	4.94e-24	1.13e-24	168.95847	FAM120A	family with sequence similarity 120A
ILMN_7933	5.00e-24	1.14e-24	168.86386	ZNF296	zinc finger protein 296
ILMN_25407	5.16e-24	1.18e-24	168.64886	HACD2	3-hydroxyacyl-CoA dehydratase 2
ILMN_139158	5.20e-24	1.19e-24	168.59424	ATP6AP1	ATPase H+ transporting accessory protein 1
ILMN_9648	5.20e-24	1.19e-24	168.5893	SPA17	sperm autoantigenic protein 17
ILMN_9107	5.21e-24	1.19e-24	168.56951	DCAKD	dephospho-CoA kinase domain containing
ILMN_5253	5.25e-24	1.20e-24	168.51812	TMEM175	transmembrane protein 175
ILMN_29705	5.26e-24	1.20e-24	168.50206	MFSD1	major facilitator superfamily domain containing 1
ILMN_29391	5.29e-24	1.21e-24	168.45388	NBAS	neuroblastoma amplified sequence
ILMN_4596	5.35e-24	1.22e-24	168.37345	DDX55	DEAD-box helicase 55
ILMN_28562	5.42e-24	1.24e-24	168.27309	WBP1L	WW domain binding protein 1-like
ILMN_17737	5.42e-24	1.24e-24	168.27084	KCTD5	potassium channel tetramerization domain containing 5
ILMN_22691	5.50e-24	1.26e-24	168.1671	NOMO1	NODAL modulator 1
ILMN_6130	5.51e-24	1.26e-24	168.15271	ZMYND11	zinc finger MYND-type containing 11
ILMN_2459	5.51e-24	1.27e-24	168.14159	CCND3	cyclin D3
ILMN_2724	5.58e-24	1.28e-24	168.05724	HPS1	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1
ILMN_138442	5.58e-24	1.28e-24	168.05614	BTN3A1	butyrophilin subfamily 3 member A1
ILMN_29882	5.70e-24	1.31e-24	167.89945	IPO9	importin 9
ILMN_1449	5.80e-24	1.34e-24	167.7748	POLR3A	RNA polymerase III subunit A
ILMN_12381	5.80e-24	1.34e-24	167.77334		
ILMN_5049	5.81e-24	1.34e-24	167.75484		
ILMN_9331	6.02e-24	1.39e-24	167.51258	TSNAX	translin associated factor X
ILMN_23048	6.06e-24	1.40e-24	167.45701	AP2S1	adaptor related protein complex 2 sigma 1 subunit
ILMN_20546	6.10e-24	1.41e-24	167.41707	PDRG1	p53 and DNA damage regulated 1
ILMN_30226	6.17e-24	1.43e-24	167.32601	ATP6V1A	ATPase H+ transporting V1 subunit A
ILMN_12960	6.21e-24	1.44e-24	167.2765	C1orf50	chromosome 1 open reading frame 50
ILMN_6094	6.35e-24	1.47e-24	167.12506	GPBP1L1	GC-rich promoter binding protein 1 like 1
ILMN_25624	6.39e-24	1.48e-24	167.08066	CNPY2	canopy FGF signaling regulator 2
ILMN_7862	6.47e-24	1.50e-24	166.98987	PECAM1	platelet and endothelial cell adhesion molecule 1
